ID,FECHA,PUNTO,USERNAME
1.47576E+18,2021-12-28T03:41:07.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47597E+18,2021-12-28T17:09:19.000-06:00,POINT (-101.56190559 17.6307884),Ilean29
1.47603E+18,2021-12-28T21:00:47.000-06:00,POINT (-98.197909 19.215285),geolocationms
1.47597E+18,2021-12-28T17:11:21.000-06:00,POINT (-98.197951 19.215188),geolocationms
1.47597E+18,2021-12-28T17:11:22.000-06:00,POINT (-98.197951 19.215188),geolocationms
1.47597E+18,2021-12-28T17:11:22.000-06:00,POINT (-98.197951 19.215188),geolocationms
1.47597E+18,2021-12-28T17:11:28.000-06:00,POINT (-98.197951 19.215188),geolocationms
1.47597E+18,2021-12-28T17:11:31.000-06:00,POINT (-98.197951 19.215188),geolocationms
1.47597E+18,2021-12-28T17:11:32.000-06:00,POINT (-98.197953 19.215188),geolocationms
1.47597E+18,2021-12-28T17:11:34.000-06:00,POINT (-98.197953 19.215188),geolocationms
